!	! expr - Logical not.
%	expr1 % expr2 - Returns the remainder after expr1/expr2.
&	expr1 & expr2 - Returns the result of bitwise AND of expr1 and expr2.
isnan	isnan(expr) - Returns true if expr is NaN, or false otherwise.
isnotnull	isnotnull(expr) - Returns true if expr is not null, or false otherwise.
isnull	isnull(expr) - Returns true if expr is null, or false otherwise.
java_method	java_method(class, method[, arg1[, arg2 ..]]) - Calls a method with reflection.
json_tuple	json_tuple(jsonStr, p1, p2, ..., pn) - Returns a tuple like the function get_json_object, but it takes multiple names. All the input parameters and output column types are string.
kurtosis	kurtosis(expr) - Returns the kurtosis value calculated from values of a group.
lag	lag(input[, offset[, default]]) - Returns the value of input at the offsetth row before the current row in the window. The default value of offset is 1 and the default value of default is null. If the value of input at the offsetth row is null, null is returned. If there is no such offset row (e.g., when the offset is 1, the first row of the window does not have any previous row), default is returned.
last	last(expr[, isIgnoreNull]) - Returns the last value of expr for a group of rows. If isIgnoreNull is true, returns only non-null values.
last_day	last_day(date) - Returns the last day of the month which the date belongs to.
last_value	last_value(expr[, isIgnoreNull]) - Returns the last value of expr for a group of rows. If isIgnoreNull is true, returns only non-null values.
lcase	lcase(str) - Returns str with all characters changed to lowercase.
lead	lead(input[, offset[, default]]) - Returns the value of input at the offsetth row after the current row in the window. The default value of offset is 1 and the default value of default is null. If the value of input at the offsetth row is null, null is returned. If there is no such an offset row (e.g., when the offset is 1, the last row of the window does not have any subsequent row), default is returned.
least	least(expr, ...) - Returns the least value of all parameters, skipping null values.
left	left(str, len) - Returns the leftmost len(len can be string type) characters from the string str,if len is less or equal than 0 the result is an empty string.
length	length(expr) - Returns the character length of string data or number of bytes of binary data. The length of string data includes the trailing spaces. The length of binary data includes binary zeros.
levenshtein	levenshtein(str1, str2) - Returns the Levenshtein distance between the two given strings.
like	str like pattern - Returns true if str matches pattern, null if any arguments are null, false otherwise.
ln	ln(expr) - Returns the natural logarithm (base e) of expr.
locate	locate(substr, str[, pos]) - Returns the position of the first occurrence of substr in str after position pos. The given pos and return value are 1-based.
log	log(base, expr) - Returns the logarithm of expr with base.
log10	log10(expr) - Returns the logarithm of expr with base 10.
log1p	log1p(expr) - Returns log(1 + expr).
log2	log2(expr) - Returns the logarithm of expr with base 2.
lower	lower(str) - Returns str with all characters changed to lowercase.
lpad	lpad(str, len, pad) - Returns str, left-padded with pad to a length of len. If str is longer than len, the return value is shortened to len characters.
ltrim	ltrim(str) - Removes the leading space characters from str.
map	map(key0, value0, key1, value1, ...) - Creates a map with the given key/value pairs.
map_concat	map_concat(map, ...) - Returns the union of all the given maps
map_from_arrays	map_from_arrays(keys, values) - Creates a map with a pair of the given key/value arrays. All elements in keys should not be null
map_from_entries	map_from_entries(arrayOfEntries) - Returns a map created from the given array of entries.
map_keys	map_keys(map) - Returns an unordered array containing the keys of the map.
map_values	map_values(map) - Returns an unordered array containing the values of the map.
max	max(expr) - Returns the maximum value of expr.
md5	md5(expr) - Returns an MD5 128-bit checksum as a hex string of expr.
mean	mean(expr) - Returns the mean calculated from values of a group.
min	min(expr) - Returns the minimum value of expr.
minute	minute(timestamp) - Returns the minute component of the string/timestamp.
mod	expr1 mod expr2 - Returns the remainder after expr1/expr2.
monotonically_increasing_id	monotonically_increasing_id() - Returns monotonically increasing 64-bit integers. The generated ID is guaranteed to be monotonically increasing and unique, but not consecutive. The current implementation puts the partition ID in the upper 31 bits, and the lower 33 bits represent the record number within each partition. The assumption is that the data frame has less than 1 billion partitions, and each partition has less than 8 billion records. The function is non-deterministic because its result depends on partition IDs.
month	month(date) - Returns the month component of the date/timestamp.
months_between	months_between(timestamp1, timestamp2[, roundOff]) - If timestamp1 is later than timestamp2, then the result is positive. If timestamp1 and timestamp2 are on the same day of month, or both are the last day of month, time of day will be ignored. Otherwise, the difference is calculated based on 31 days per month, and rounded to 8 digits unless roundOff=false.
named_struct	named_struct(name1, val1, name2, val2, ...) - Creates a struct with the given field names and values.
nanvl	nanvl(expr1, expr2) - Returns expr1 if it's not NaN, or expr2 otherwise.
negative	negative(expr) - Returns the negated value of expr.
next_day	next_day(start_date, day_of_week) - Returns the first date which is later than start_date and named as indicated.
not	not expr - Logical not.
now	now() - Returns the current timestamp at the start of query evaluation.
ntile	ntile(n) - Divides the rows for each window partition into n buckets ranging from 1 to at most n.
nullif	nullif(expr1, expr2) - Returns null if expr1 equals to expr2, or expr1 otherwise.
nvl	nvl(expr1, expr2) - Returns expr2 if expr1 is null, or expr1 otherwise.
nvl2	nvl2(expr1, expr2, expr3) - Returns expr2 if expr1 is not null, or expr3 otherwise.
octet_length	octet_length(expr) - Returns the byte length of string data or number of bytes of binary data.
or	expr1 or expr2 - Logical OR.
parse_url	parse_url(url, partToExtract[, key]) - Extracts a part from a URL.
percent_rank	percent_rank() - Computes the percentage ranking of a value in a group of values.
percentile	percentile(col, percentage [, frequency]) - Returns the exact percentile value of numeric column col at the given percentage. The value of percentage must be between 0.0 and 1.0. The value of frequency should be positive integral
percentile_approx	percentile_approx(col, percentage [, accuracy]) - Returns the approximate percentile value of numeric column col at the given percentage. The value of percentage must be between 0.0 and 1.0. The accuracy parameter (default: 10000) is a positive numeric literal which controls approximation accuracy at the cost of memory. Higher value of accuracy yields better accuracy, 1.0/accuracy is the relative error of the approximation. When percentage is an array, each value of the percentage array must be between 0.0 and 1.0. In this case, returns the approximate percentile array of column col at the given percentage array.
pi	pi() - Returns pi.
pmod	pmod(expr1, expr2) - Returns the positive value of expr1 mod expr2.
posexplode	posexplode(expr) - Separates the elements of array expr into multiple rows with positions, or the elements of map expr into multiple rows and columns with positions.
posexplode_outer	posexplode_outer(expr) - Separates the elements of array expr into multiple rows with positions, or the elements of map expr into multiple rows and columns with positions.
position	position(substr, str[, pos]) - Returns the position of the first occurrence of substr in str after position pos. The given pos and return value are 1-based.
positive	positive(expr) - Returns the value of expr.
pow	pow(expr1, expr2) - Raises expr1 to the power of expr2.
power	power(expr1, expr2) - Raises expr1 to the power of expr2.
printf	printf(strfmt, obj, ...) - Returns a formatted string from printf-style format strings.
quarter	quarter(date) - Returns the quarter of the year for date, in the range 1 to 4.
radians	radians(expr) - Converts degrees to radians.
rand	rand([seed]) - Returns a random value with independent and identically distributed (i.i.d.) uniformly distributed values in [0, 1).
randn	randn([seed]) - Returns a random value with independent and identically distributed (i.i.d.) values drawn from the standard normal distribution.
rank	rank() - Computes the rank of a value in a group of values. The result is one plus the number of rows preceding or equal to the current row in the ordering of the partition. The values will produce gaps in the sequence.
reflect	reflect(class, method[, arg1[, arg2 ..]]) - Calls a method with reflection.
regexp_extract	regexp_extract(str, regexp[, idx]) - Extracts a group that matches regexp.
regexp_replace	regexp_replace(str, regexp, rep) - Replaces all substrings of str that match regexp with rep.
repeat	repeat(str, n) - Returns the string which repeats the given string value n times.
replace	replace(str, search[, replace]) - Replaces all occurrences of search with replace.
reverse	reverse(array) - Returns a reversed string or an array with reverse order of elements.
right	right(str, len) - Returns the rightmost len(len can be string type) characters from the string str,if len is less or equal than 0 the result is an empty string.
rint	rint(expr) - Returns the double value that is closest in value to the argument and is equal to a mathematical integer.
rlike	str rlike regexp - Returns true if str matches regexp, or false otherwise.
rollup	rollup([col1[, col2 ..]]) - create a multi-dimensional rollup using the specified columns so that we can run aggregation on them.
round	round(expr, d) - Returns expr rounded to d decimal places using HALF_UP rounding mode.
row_number	row_number() - Assigns a unique, sequential number to each row, starting with one, according to the ordering of rows within the window partition.
rpad	rpad(str, len, pad) - Returns str, right-padded with pad to a length of len. If str is longer than len, the return value is shortened to len characters.
rtrim	rtrim(str) - Removes the trailing space characters from str.
schema_of_json	schema_of_json(json[, options]) - Returns schema in the DDL format of JSON string.
second	second(timestamp) - Returns the second component of the string/timestamp.
sentences	sentences(str[, lang, country]) - Splits str into an array of array of words.
sequence	sequence(start, stop, step) - Generates an array of elements from start to stop (inclusive), incrementing by step. The type of the returned elements is the same as the type of argument expressions.
sha	sha(expr) - Returns a sha1 hash value as a hex string of the expr.
sha1	sha1(expr) - Returns a sha1 hash value as a hex string of the expr.
sha2	sha2(expr, bitLength) - Returns a checksum of SHA-2 family as a hex string of expr. SHA-224, SHA-256, SHA-384, and SHA-512 are supported. Bit length of 0 is equivalent to 256.
shiftleft	shiftleft(base, expr) - Bitwise left shift.
shiftright	shiftright(base, expr) - Bitwise (signed) right shift.
shiftrightunsigned	shiftrightunsigned(base, expr) - Bitwise unsigned right shift.
shuffle	shuffle(array) - Returns a random permutation of the given array.
sign	sign(expr) - Returns -1.0, 0.0 or 1.0 as expr is negative, 0 or positive.
signum	signum(expr) - Returns -1.0, 0.0 or 1.0 as expr is negative, 0 or positive.
sin	sin(expr) - Returns the sine of expr, as if computed by java.lang.Math.sin.
sinh	sinh(expr) - Returns hyperbolic sine of expr, as if computed by java.lang.Math.sinh.
size	size(expr) - Returns the size of an array or a map. The function returns -1 if its input is null and spark.sql.legacy.sizeOfNull is set to true. If spark.sql.legacy.sizeOfNull is set to false, the function returns null for null input. By default, the spark.sql.legacy.sizeOfNull parameter is set to true.
skewness	skewness(expr) - Returns the skewness value calculated from values of a group.
slice	slice(x, start, length) - Subsets array x starting from index start (or starting from the end if start is negative) with the specified length.
smallint	smallint(expr) - Casts the value expr to the target data type smallint.
sort_array	sort_array(array[, ascendingOrder]) - Sorts the input array in ascending or descending order according to the natural ordering of the array elements. Null elements will be placed at the beginning of the returned array in ascending order or at the end of the returned array in descending order.
soundex	soundex(str) - Returns Soundex code of the string.
space	space(n) - Returns a string consisting of n spaces.
spark_partition_id	spark_partition_id() - Returns the current partition id.
split	split(str, regex) - Splits str around occurrences that match regex.
sqrt	sqrt(expr) - Returns the square root of expr.
stack	stack(n, expr1, ..., exprk) - Separates expr1, ..., exprk into n rows.
std	std(expr) - Returns the sample standard deviation calculated from values of a group.
stddev	stddev(expr) - Returns the sample standard deviation calculated from values of a group.
stddev_pop	stddev_pop(expr) - Returns the population standard deviation calculated from values of a group.
stddev_samp	stddev_samp(expr) - Returns the sample standard deviation calculated from values of a group.
str_to_map	str_to_map(text[, pairDelim[, keyValueDelim]]) - Creates a map after splitting the text into key/value pairs using delimiters. Default delimiters are ',' for pairDelim and ':' for keyValueDelim.
string	string(expr) - Casts the value expr to the target data type string.
struct	struct(col1, col2, col3, ...) - Creates a struct with the given field values.
substr	substr(str, pos[, len]) - Returns the substring of str that starts at pos and is of length len, or the slice of byte array that starts at pos and is of length len.
substring	substring(str, pos[, len]) - Returns the substring of str that starts at pos and is of length len, or the slice of byte array that starts at pos and is of length len.
substring_index	substring_index(str, delim, count) - Returns the substring from str before count occurrences of the delimiter delim. If count is positive, everything to the left of the final delimiter (counting from the left) is returned. If count is negative, everything to the right of the final delimiter (counting from the right) is returned. The function substring_index performs a case-sensitive match when searching for delim.
sum	sum(expr) - Returns the sum calculated from values of a group.
tan	tan(expr) - Returns the tangent of expr, as if computed by java.lang.Math.tan.
tanh	tanh(expr) - Returns the hyperbolic tangent of expr, as if computed by java.lang.Math.tanh.
timestamp	timestamp(expr) - Casts the value expr to the target data type timestamp.
tinyint	tinyint(expr) - Casts the value expr to the target data type tinyint.
to_date	to_date(date_str[, fmt]) - Parses the date_str expression with the fmt expression to a date. Returns null with invalid input. By default, it follows casting rules to a date if the fmt is omitted.
to_json	to_json(expr[, options]) - Returns a JSON string with a given struct value
to_timestamp	to_timestamp(timestamp[, fmt]) - Parses the timestamp expression with the fmt expression to a timestamp. Returns null with invalid input. By default, it follows casting rules to a timestamp if the fmt is omitted.
to_unix_timestamp	to_unix_timestamp(expr[, pattern]) - Returns the UNIX timestamp of the given time.
to_utc_timestamp	to_utc_timestamp(timestamp, timezone) - Given a timestamp like '2017-07-14 02:40:00.0', interprets it as a time in the given time zone, and renders that time as a timestamp in UTC. For example, 'GMT+1' would yield '2017-07-14 01:40:00.0'.
transform	transform(expr, func) - Transforms elements in an array using the function.
translate	translate(input, from, to) - Translates the input string by replacing the characters present in the from string with the corresponding characters in the to string.
trim	trim(str) - Removes the leading and trailing space characters from str.
trunc	trunc(date, fmt) - Returns date with the time portion of the day truncated to the unit specified by the format model fmt. fmt should be one of ["year", "yyyy", "yy", "mon", "month", "mm"]
ucase	ucase(str) - Returns str with all characters changed to uppercase.
unbase64	unbase64(str) - Converts the argument from a base 64 string str to a binary.
unhex	unhex(expr) - Converts hexadecimal expr to binary.
unix_timestamp	unix_timestamp([expr[, pattern]]) - Returns the UNIX timestamp of current or specified time.
upper	upper(str) - Returns str with all characters changed to uppercase.
uuid	uuid() - Returns an universally unique identifier (UUID) string. The value is returned as a canonical UUID 36-character string.
var_pop	var_pop(expr) - Returns the population variance calculated from values of a group.
var_samp	var_samp(expr) - Returns the sample variance calculated from values of a group.
variance	variance(expr) - Returns the sample variance calculated from values of a group.
weekday	weekday(date) - Returns the day of the week for date/timestamp (0 = Monday, 1 = Tuesday, ..., 6 = Sunday).
weekofyear	weekofyear(date) - Returns the week of the year of the given date. A week is considered to start on a Monday and week 1 is the first week with >3 days.
when	CASE WHEN expr1 THEN expr2 [WHEN expr3 THEN expr4]* [ELSE expr5] END - When expr1 = true, returns expr2; else when expr3 = true, returns expr4; else returns expr5.
xpath	xpath(xml, xpath) - Returns a string array of values within the nodes of xml that match the XPath expression.
xpath_boolean	xpath_boolean(xml, xpath) - Returns true if the XPath expression evaluates to true, or if a matching node is found.
xpath_double	xpath_double(xml, xpath) - Returns a double value, the value zero if no match is found, or NaN if a match is found but the value is non-numeric.
xpath_float	xpath_float(xml, xpath) - Returns a float value, the value zero if no match is found, or NaN if a match is found but the value is non-numeric.
xpath_int	xpath_int(xml, xpath) - Returns an integer value, or the value zero if no match is found, or a match is found but the value is non-numeric.
xpath_long	xpath_long(xml, xpath) - Returns a long integer value, or the value zero if no match is found, or a match is found but the value is non-numeric.
xpath_number	xpath_number(xml, xpath) - Returns a double value, the value zero if no match is found, or NaN if a match is found but the value is non-numeric.
xpath_short	xpath_short(xml, xpath) - Returns a short integer value, or the value zero if no match is found, or a match is found but the value is non-numeric.
xpath_string	xpath_string(xml, xpath) - Returns the text contents of the first xml node that matches the XPath expression.
year	year(date) - Returns the year component of the date/timestamp.
zip_with	zip_with(left, right, func) - Merges the two given arrays, element-wise, into a single array using function. If one array is shorter, nulls are appended at the end to match the length of the longer array, before applying function.
|	expr1 | expr2 - Returns the result of bitwise OR of expr1 and expr2.
~	~ expr - Returns the result of bitwise NOT of expr.
